scenario,variant,run,seed,success,terminal_reason,time_s,performance_mode,time_to_goal_s,path_m,path_efficiency,min_clearance_m,cte_rms_m,cte_p95_m,peak_xy_speed_m_s,peak_accel_m_s2,compute_p50_ms,compute_p95_ms,compute_p99_ms,compute_max_ms,deadline_misses,min_safe_samples,ess_min,collision,median_safe_samples,ess_median,best_feasible_cost_min,best_feasible_cost_median,no_safe_trajectory_events,disconnected_events,stale_command_events,late_command_accepted,stale_command_violations,setpoint_while_disarmed,setpoint_in_wrong_mode,replan_latency_ms,replan_to_command_ms
S03,base,1,7,true,observed local mode GOAL_REACHED,10.7464,true,10.7463,22.9459,0.709339,1.5087,0.377044,0.626911,4.00183,2.81151,12.7943,13.9095,14.2806,14.4558,0,18,1,false,78,1,-48596.1,-28305.7,0,0,0,0,0,0,0,,
S03,base,2,17,true,observed local mode GOAL_REACHED,10.8583,true,10.8582,21.8064,0.763445,1.51027,0.369077,0.853527,4.2747,87.7251,13.2214,16.0374,19.6064,20.8979,0,4,1,false,79,1,-58059.7,-28015.6,0,0,0,0,0,0,0,,
S03,base,3,27,true,observed local mode GOAL_REACHED,13.6814,true,13.6813,30.3748,0.53774,0.039969,1.89578,4.1621,3.98973,3.71107,11.6848,14.4791,14.8148,30.9453,0,0,0,false,60.5,1,-48972.5,8136.35,38,0,72,0,0,0,0,,
S03,base,4,37,true,observed local mode GOAL_REACHED,8.57542,true,8.57535,21.7508,0.758001,1.50644,0.474703,0.8131,4.46087,2.94432,13.441,15.7911,44.1453,45.25,0,33,1,false,78,1,-59766.3,-36871,0,0,0,0,0,0,0,,
S03,base,5,47,true,observed local mode GOAL_REACHED,12.791,true,12.7909,21.9306,0.769094,1.50022,0.390812,0.741709,3.2939,37.7465,35.8598,70.2877,97.2077,99.0204,6,30,1,false,75,1,-51716,-29917.6,0,7,4,0,1,0,0,,
S03,base,6,57,true,observed local mode GOAL_REACHED,8.99001,true,8.98996,20.6381,0.794723,1.50181,0.415401,0.924417,3.93422,3.73603,14.0907,14.9693,15.0637,15.1875,0,27,1,false,78,1,-48192.4,-32953.5,0,0,0,0,0,0,0,,
S03,base,7,67,true,observed local mode GOAL_REACHED,14.9765,true,14.9764,28.359,0.575005,1.01979,1.79284,3.14413,4.03165,3.35534,13.2278,19.2501,19.6303,25.8051,0,0,0,false,48,1,-56890.5,-34673.5,65,0,125,0,0,0,0,,
S03,base,8,77,true,observed local mode GOAL_REACHED,19.1486,true,19.1485,29.5501,0.559811,0.029065,0.546835,1.13955,4.01531,3.75426,13.1722,15.5434,15.6881,16.0055,0,0,0,false,76,1,-51812.4,8698.8,45,0,82,0,0,0,0,,
S03,base,9,87,true,observed local mode GOAL_REACHED,10.3612,true,10.3611,21.8214,0.765778,1.50043,0.285614,0.460001,3.88934,2.89017,14.2951,16.5859,16.6898,18.0759,0,12,1,false,79,1,-51526.2,-33502.1,0,0,0,0,0,0,0,,
S03,base,10,97,true,observed local mode GOAL_REACHED,13.4695,true,13.4694,34.2179,0.48695,0.126546,2.2074,5.20084,4.39065,113.771,14.3796,17.0496,21.6637,22.9241,0,0,0,false,73.5,1,-48399.9,-6641.35,20,0,36,0,0,0,0,,
