scenario,variant,run,seed,success,terminal_reason,time_s,performance_mode,time_to_goal_s,path_m,path_efficiency,min_clearance_m,cte_rms_m,cte_p95_m,peak_xy_speed_m_s,peak_accel_m_s2,compute_p50_ms,compute_p95_ms,compute_p99_ms,compute_max_ms,deadline_misses,min_safe_samples,ess_min,collision,median_safe_samples,ess_median,best_feasible_cost_min,best_feasible_cost_median,no_safe_trajectory_events,disconnected_events,stale_command_events,late_command_accepted,stale_command_violations,setpoint_while_disarmed,setpoint_in_wrong_mode,replan_latency_ms,replan_to_command_ms
S01,base,1,7,true,observed local mode GOAL_REACHED,15.2112,true,15.2111,39.2775,0.769914,4.8493,1.04668,2.25806,7.61182,3.78541,4.62317,5.54235,6.00522,9.74225,0,80,1,false,80,1,-113866,-8937.04,0,0,0,0,0,0,0,,
S01,base,2,17,true,observed local mode GOAL_REACHED,10.7453,true,10.7452,33.3476,0.902475,4.68694,0.436125,0.783564,7.41289,2.94973,4.61358,5.29552,5.5173,5.62,0,80,1,false,80,1,-118767,-48807.1,0,0,0,0,0,0,0,,
S01,base,3,27,true,observed local mode GOAL_REACHED,11.4732,true,11.4731,33.2636,0.904637,4.88843,0.450228,0.665521,6.32225,2.9398,4.44342,8.3512,12.7629,16.5942,0,80,1,false,80,1,-106090,-53564.9,0,0,0,0,0,0,0,,
S01,base,4,37,true,observed local mode GOAL_REACHED,10.5315,true,10.5314,32.2402,0.935591,4.72493,0.408691,0.606246,7.17294,3.25905,4.54054,5.5911,8.80395,13.203,0,80,1,false,80,1,-116348,-49954.5,0,0,0,0,0,0,0,,
S01,base,5,47,true,observed local mode GOAL_REACHED,10.8769,true,10.8768,32.6854,0.925852,4.76525,0.466159,0.675262,6.70339,5.22655,4.53394,5.48361,6.20608,28.9454,0,80,1,false,80,1,-111389,-59699.3,0,0,0,0,0,0,0,,
S01,base,6,57,true,observed local mode GOAL_REACHED,11.4162,true,11.4161,33.1407,0.905234,4.84285,0.415505,0.585549,6.97583,2.99744,4.35565,5.38088,5.61141,17.1175,0,80,1,false,80,1,-109470,-51489.7,0,0,0,0,0,0,0,,
S01,base,7,67,true,observed local mode GOAL_REACHED,10.4061,true,10.406,33.5138,0.899248,4.53088,0.473498,0.767081,7.49045,3.24681,4.87483,5.73308,8.86411,9.14008,0,80,1,false,80,1,-119013,-48470,0,0,0,0,0,0,0,,
S01,base,8,77,true,observed local mode GOAL_REACHED,10.1085,true,10.1085,32.5979,0.932538,4.7451,0.537472,0.857955,7.14907,52.7851,4.45742,5.74346,6.14617,17.6896,0,80,1,false,80,1,-116397,-59050.1,0,0,0,0,0,0,0,,
S01,base,9,87,true,observed local mode GOAL_REACHED,11.4616,true,11.4615,32.6027,0.925545,4.92088,0.434717,0.561675,6.33224,3.30295,4.17135,5.3682,5.56677,29.385,0,80,1,false,80,1,-105451,-54417,0,0,0,0,0,0,0,,
S01,base,10,97,true,observed local mode GOAL_REACHED,10.9451,true,10.9448,33.1215,0.908125,4.77137,0.363125,0.617713,6.43703,3.02732,4.54992,5.24837,5.55857,5.60129,0,80,1,false,80,1,-115536,-48933,0,0,0,0,0,0,0,,
