scenario,variant,run,seed,success,terminal_reason,time_s,performance_mode,time_to_goal_s,path_m,path_efficiency,min_clearance_m,cte_rms_m,cte_p95_m,peak_xy_speed_m_s,peak_accel_m_s2,compute_p50_ms,compute_p95_ms,compute_p99_ms,compute_max_ms,deadline_misses,min_safe_samples,ess_min,collision,median_safe_samples,ess_median,best_feasible_cost_min,best_feasible_cost_median,no_safe_trajectory_events,disconnected_events,stale_command_events,late_command_accepted,stale_command_violations,setpoint_while_disarmed,setpoint_in_wrong_mode,replan_latency_ms,replan_to_command_ms
S01,base,1,7,true,observed local mode GOAL_REACHED,13.2733,true,13.2732,35.1513,0.851491,4.84139,1.2732,2.8251,6.18576,3.47029,4.45162,5.40501,5.87545,6.01487,0,80,1,false,80,1,-113191,-49924,0,0,0,0,0,0,0,,
S01,base,2,17,true,observed local mode GOAL_REACHED,15.3519,true,15.3517,34.6813,0.870733,4.79025,0.402094,0.856607,6.51859,2.96847,4.32292,5.22042,5.64446,31.0243,0,80,1,false,80,1,-115204,-43169.4,0,0,0,0,0,0,0,,
S01,base,3,27,true,observed local mode GOAL_REACHED,11.3234,true,11.3233,32.5412,0.918807,4.59852,0.477749,0.861381,6.866,3.26601,7.13604,8.411,8.54044,8.71983,0,80,1,false,80,1,-115178,-48178.4,0,0,0,0,0,0,0,,
S01,base,4,37,true,observed local mode GOAL_REACHED,11.3002,true,11.3,31.308,0.967371,4.27554,0.301875,0.530968,7.69616,4.66533,13.6598,20.3961,36.5722,48.313,0,80,1,false,80,1,-121421,-47771.4,0,0,0,0,0,0,0,,
S01,base,5,47,true,observed local mode GOAL_REACHED,12.6116,true,12.6114,35.4166,0.855662,4.77,1.45766,3.22634,7.41092,3.77596,10.7427,15.0198,21.4,23.2795,0,80,1,false,80,1,-106254,-47867.6,0,0,0,0,0,0,0,,
S01,base,6,57,true,observed local mode GOAL_REACHED,12.7496,true,12.7493,40.8351,0.730356,4.8034,2.54031,4.92002,8.32424,4.70385,12.789,17.5997,19.667,31.6351,0,80,1,false,80,1,-104268,-3886.92,0,0,0,0,0,0,0,,
S01,base,7,67,true,observed local mode GOAL_REACHED,13.7383,true,13.7382,33.1438,0.898934,4.71525,0.556181,1.1111,6.79256,3.57168,9.24512,13.1704,15.143,17.0711,0,80,1,false,80,1,-117726,-51376.1,0,0,0,0,0,0,0,,
S01,base,8,77,true,observed local mode GOAL_REACHED,22.6037,true,22.6035,32.1724,0.932856,4.59499,0.271407,0.563249,4.29662,78.1689,10.0701,13.9647,24.3859,26.9559,2,80,1,false,80,1,-90438.3,-56632.9,0,14,42,0,0,0,0,,
S01,base,9,87,true,observed local mode GOAL_REACHED,13.3234,true,13.3232,30.9004,0.977694,4.63785,0.270447,0.48478,6.43003,101.617,15.2705,30.7206,48.6396,57.6091,2,80,1,false,80,1,-123704,-53040.5,0,0,15,0,0,0,0,,
S01,base,10,97,true,observed local mode GOAL_REACHED,17.6965,true,17.6963,35.4267,0.858882,4.60887,0.466241,1.11125,5.98495,43.7356,6.08938,10.9022,28.781,61.7267,0,80,1,false,80,1,-117933,-34395.7,0,0,0,0,0,0,0,,
